UC Berkeley, ABC 1.01 (compiled Jan 25 2024 13:39:36)
abc 01> read_bench "./bench_gen_s_keyed_xor/gen_aug_new_3493.bench"
abc 02> bfs -g 2
BFS Adjacency Tags Updating...
Adjacency tags successfully updated. Run "list" command to list network.
abc 02> scan -g -a

Launching Leakage Analysis...

BFS grouping of size 2 detected. Proceeding with group scan...
Set Number of Keys considered to: 7

Network List:
Node 876:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 5,	Level = 1	KIF = 1 	Adj. Tag = 1
Node 877:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 5,	Level = 1	KIF = 1 	Adj. Tag = 1
Node 878:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 7,	Level = 1	KIF = 1 	Adj. Tag = 2
Node 879:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 12,	Level = 1	KIF = 0 	Adj. Tag = 2
Node 880:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 3,	Level = 1	KIF = 1 	Adj. Tag = 3
Node 881:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 7,	Level = 1	KIF = 1 	Adj. Tag = 3
Node 882:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 3,	Level = 1	KIF = 1 	Adj. Tag = 4
Node 883:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 7,	Level = 1	KIF = 2 	Adj. Tag = 4
Node 884:	Gate = OR ,	Visited = false,	Leaks = false,	Fanin = 4,	Fanout = 5,	Level = 1	KIF = 0 	Adj. Tag = 5
Node 885:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 6,	Level = 1	KIF = 3 	Adj. Tag = 5
Node 886:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 6,	Level = 1	KIF = 1 	Adj. Tag = 6
Node 887:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 4,	Level = 1	KIF = 1 	Adj. Tag = 6
Node 888:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 8,	Level = 1	KIF = 1 	Adj. Tag = 7
Node 889:	Gate = OR ,	Visited = false,	Leaks = false,	Fanin = 3,	Fanout = 4,	Level = 1	KIF = 0 	Adj. Tag = 7
Node 890:	Gate = OR ,	Visited = false,	Leaks = false,	Fanin = 4,	Fanout = 5,	Level = 1	KIF = 0 	Adj. Tag = 8
Node 891:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 6,	Level = 1	KIF = 1 	Adj. Tag = 8
Node 892:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 3,	Fanout = 5,	Level = 1	KIF = 0 	Adj. Tag = 9
Node 893:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 8,	Level = 1	KIF = 1 	Adj. Tag = 9
Node 894:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 6,	Level = 1	KIF = 2 	Adj. Tag = 10
Node 895:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 8,	Level = 1	KIF = 2 	Adj. Tag = 10
Node 896:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 4,	Level = 1	KIF = 2 	Adj. Tag = 11
Node 897:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 7,	Level = 1	KIF = 0 	Adj. Tag = 11
Node 898:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 6,	Level = 1	KIF = 2 	Adj. Tag = 12
Node 899:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 9,	Level = 1	KIF = 2 	Adj. Tag = 12
Node 900:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 4,	Fanout = 8,	Level = 1	KIF = 0 	Adj. Tag = 13
Node 901:	Gate = OR ,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 7,	Level = 1	KIF = 0 	Adj. Tag = 13
Node 902:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 4,	Level = 1	KIF = 0 	Adj. Tag = 14
Node 903:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 6,	Level = 1	KIF = 0 	Adj. Tag = 14
Node 904:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 3,	Level = 1	KIF = 1 	Adj. Tag = 15
Node 906:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 7,	Level = 1	KIF = 1 	Adj. Tag = 15
Node 907:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 2,	Level = 1	KIF = 2 	Adj. Tag = 16
Node 908:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 12,	Level = 1	KIF = 1 	Adj. Tag = 16
Node 909:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 5,	Level = 1	KIF = 2 	Adj. Tag = 17
Node 910:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 2,	Level = 1	KIF = 1 	Adj. Tag = 17
Node 911:	Gate = OR ,	Visited = false,	Leaks = false,	Fanin = 4,	Fanout = 6,	Level = 1	KIF = 0 	Adj. Tag = 18
Node 912:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 5,	Level = 1	KIF = 1 	Adj. Tag = 18
Node 913:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 6,	Level = 1	KIF = 1 	Adj. Tag = 19
Node 914:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 6,	Level = 1	KIF = 3 	Adj. Tag = 19
Node 915:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 8,	Level = 1	KIF = 1 	Adj. Tag = 20
Node 916:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 7,	Level = 1	KIF = 1 	Adj. Tag = 20
Node 917:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 6,	Level = 1	KIF = 3 	Adj. Tag = 21
Node 918:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 9,	Level = 1	KIF = 3 	Adj. Tag = 21
Node 919:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 4,	Level = 1	KIF = 3 	Adj. Tag = 22
Node 921:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 11,	Level = 1	KIF = 1 	Adj. Tag = 22
Node 922:	Gate = OR ,	Visited = false,	Leaks = false,	Fanin = 4,	Fanout = 9,	Level = 1	KIF = 0 	Adj. Tag = 23
Node 923:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 7,	Level = 1	KIF = 0 	Adj. Tag = 23
Node 924:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 5,	Level = 1	KIF = 1 	Adj. Tag = 24
Node 925:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 6,	Level = 1	KIF = 2 	Adj. Tag = 24
Node 926:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 5,	Level = 1	KIF = 1 	Adj. Tag = 25
Node 927:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 7,	Level = 1	KIF = 1 	Adj. Tag = 25
Node 928:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 11,	Level = 1	KIF = 0 	Adj. Tag = 26
Node 929:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 11,	Level = 1	KIF = 2 	Adj. Tag = 26
Node 930:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 7,	Level = 1	KIF = 1 	Adj. Tag = 27
Node 931:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 5,	Level = 1	KIF = 3 	Adj. Tag = 27
Node 932:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 7,	Level = 1	KIF = 2 	Adj. Tag = 28
Node 933:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 3,	Level = 1	KIF = 1 	Adj. Tag = 28
Node 934:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 5,	Level = 1	KIF = 1 	Adj. Tag = 29
