UC Berkeley, ABC 1.01 (compiled Jan 25 2024 13:39:36)
abc 01> read_bench "./bench_gen_s_keyed_xor/gen_aug_new_2117.bench"
abc 02> bfs -g 2
BFS Adjacency Tags Updating...
Adjacency tags successfully updated. Run "list" command to list network.
abc 02> scan -g -a

Launching Leakage Analysis...

BFS grouping of size 2 detected. Proceeding with group scan...
Set Number of Keys considered to: 7

Network List:
Node 223:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 6,	Level = 1	KIF = 1 	Adj. Tag = 1
Node 224:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 11,	Level = 1	KIF = 1 	Adj. Tag = 1
Node 225:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 7,	Level = 1	KIF = 1 	Adj. Tag = 2
Node 226:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 8,	Level = 1	KIF = 2 	Adj. Tag = 2
Node 227:	Gate = OR ,	Visited = false,	Leaks = false,	Fanin = 4,	Fanout = 8,	Level = 1	KIF = 0 	Adj. Tag = 3
Node 229:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 8,	Level = 1	KIF = 3 	Adj. Tag = 3
Node 230:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 15,	Level = 1	KIF = 2 	Adj. Tag = 4
Node 231:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 9,	Level = 1	KIF = 0 	Adj. Tag = 4
Node 232:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 8,	Level = 1	KIF = 1 	Adj. Tag = 5
Node 233:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 3,	Fanout = 5,	Level = 1	KIF = 0 	Adj. Tag = 5
Node 234:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 7,	Level = 1	KIF = 1 	Adj. Tag = 6
Node 235:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 6,	Level = 1	KIF = 0 	Adj. Tag = 6
Node 236:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 6,	Level = 1	KIF = 1 	Adj. Tag = 7
Node 237:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 9,	Level = 1	KIF = 1 	Adj. Tag = 7
Node 238:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 9,	Level = 1	KIF = 1 	Adj. Tag = 8
Node 239:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 8,	Level = 1	KIF = 2 	Adj. Tag = 8
Node 240:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 9,	Level = 1	KIF = 1 	Adj. Tag = 9
Node 241:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 8,	Level = 1	KIF = 0 	Adj. Tag = 9
Node 242:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 8,	Level = 1	KIF = 1 	Adj. Tag = 10
Node 243:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 3,	Fanout = 10,	Level = 1	KIF = 0 	Adj. Tag = 10
Node 244:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 13,	Level = 1	KIF = 0 	Adj. Tag = 11
Node 245:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 11,	Level = 1	KIF = 1 	Adj. Tag = 11
Node 247:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 1	KIF = 1 	Adj. Tag = 12
Node 248:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 3,	Level = 1	KIF = 0 	Adj. Tag = 12
Node 253:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 1	KIF = 0 	Adj. Tag = 13
Node 258:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 2,	Level = 1	KIF = 0 	Adj. Tag = 13
Node 259:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 2,	Level = 1	KIF = 0 	Adj. Tag = 14
Node 266:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 1	KIF = 0 	Adj. Tag = 14
Node 268:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 1	KIF = 2 	Adj. Tag = 15
Node 270:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 1	KIF = 0 	Adj. Tag = 15
Node 271:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 1	KIF = 1 	Adj. Tag = 16
Node 273:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 2,	Level = 1	KIF = 0 	Adj. Tag = 16
