UC Berkeley, ABC 1.01 (compiled Jan 25 2024 13:39:36)
abc 01> read_bench "./bench_gen_s_keyed_xor/gen_aug_new_3127.bench"
abc 02> bfs -g 2
BFS Adjacency Tags Updating...
Adjacency tags successfully updated. Run "list" command to list network.
abc 02> scan -g -a

Launching Leakage Analysis...

BFS grouping of size 2 detected. Proceeding with group scan...
Set Number of Keys considered to: 7

Network List:
Node 560:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 1
Node 561:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 1
Node 562:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 15,	Level = 1	KIF = 2 	Adj. Tag = 2
Node 563:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 2
Node 564:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 3
Node 565:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 3 	Adj. Tag = 3
Node 566:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 4
Node 567:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 0 	Adj. Tag = 4
Node 568:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 5
Node 569:	Gate = OR ,	Visited = false,	Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 0 	Adj. Tag = 5
Node 570:	Gate = OR ,	Visited = false,	Leaks = false,	Fanin = 4,	Fanout = 15,	Level = 1	KIF = 0 	Adj. Tag = 6
Node 571:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 15,	Level = 1	KIF = 0 	Adj. Tag = 6
Node 572:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 7
Node 573:	Gate = OR ,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 15,	Level = 1	KIF = 0 	Adj. Tag = 7
Node 574:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 15,	Level = 1	KIF = 3 	Adj. Tag = 8
Node 575:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 2 	Adj. Tag = 8
Node 576:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 9
Node 577:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 9
Node 578:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 15,	Level = 1	KIF = 3 	Adj. Tag = 10
Node 579:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 2 	Adj. Tag = 10
Node 580:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 11
Node 581:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 15,	Level = 1	KIF = 2 	Adj. Tag = 11
Node 582:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 0 	Adj. Tag = 12
Node 583:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 3,	Fanout = 15,	Level = 1	KIF = 0 	Adj. Tag = 12
Node 584:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 13
Node 585:	Gate = OR ,	Visited = false,	Leaks = false,	Fanin = 3,	Fanout = 15,	Level = 1	KIF = 0 	Adj. Tag = 13
Node 586:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 14
Node 587:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 4,	Fanout = 15,	Level = 1	KIF = 0 	Adj. Tag = 14
Node 588:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 15
Node 589:	Gate = OR ,	Visited = false,	Leaks = false,	Fanin = 4,	Fanout = 15,	Level = 1	KIF = 0 	Adj. Tag = 15
Node 590:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 4,	Fanout = 15,	Level = 1	KIF = 2 	Adj. Tag = 16
Node 591:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 3 	Adj. Tag = 16
Node 592:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 3,	Fanout = 15,	Level = 1	KIF = 0 	Adj. Tag = 17
Node 593:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 17
Node 594:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 2 	Adj. Tag = 18
Node 595:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 18
Node 596:	Gate = OR ,	Visited = false,	Leaks = false,	Fanin = 3,	Fanout = 15,	Level = 1	KIF = 0 	Adj. Tag = 19
Node 597:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 4,	Fanout = 15,	Level = 1	KIF = 0 	Adj. Tag = 19
Node 598:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 5,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 20
Node 599:	Gate = AND,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 20
Node 601:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 1	KIF = 0 	Adj. Tag = 21
Node 603:	Gate = OR ,	Visited = true,		Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 1	KIF = 1 	Adj. Tag = 21
Node 604:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 1	KIF = 0 	Adj. Tag = 22
Node 605:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 1	KIF = 1 	Adj. Tag = 22
Node 606:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 1	KIF = 0 	Adj. Tag = 23
Node 607:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 1	KIF = 0 	Adj. Tag = 23
Node 609:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 1	KIF = 0 	Adj. Tag = 24
Node 614:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 1	KIF = 1 	Adj. Tag = 24
Node 617:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 2,	Level = 1	KIF = 0 	Adj. Tag = 25
Node 618:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 1	KIF = 0 	Adj. Tag = 25
Node 620:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 1	KIF = 0 	Adj. Tag = 26
Node 623:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 1	KIF = 1 	Adj. Tag = 26
Node 627:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 2,	Level = 1	KIF = 0 	Adj. Tag = 27
