#UC Berkeley, ABC 1.01 (compiled Jan 25 2024 13:39:36)
#abc 01> read_bench "./SAT_set/ex5_enc25_3.bench"
#abc 02> bfs -g 4
#BFS Adjacency Tags Updating...
#Adjacency tags successfully updated. Run "list" command to list network.
#abc 02> scan -g -a
#
#Launching Leakage Analysis...
#
#BFS grouping of size 4 detected. Proceeding with group scan...
#Set Number of Keys considered to: 7
#
#Network List:
Node pi0$enc:	Gate = XOR,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 29,	Level = 1	KIF = 1 	Adj. Tag = 1
Node pi1$enc:	Gate = XOR,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 20,	Level = 1	KIF = 1 	Adj. Tag = 1
Node pi2$enc:	Gate = XOR,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 25,	Level = 1	KIF = 1 	Adj. Tag = 1
Node pi3$enc:	Gate = XOR,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 23,	Level = 1	KIF = 1 	Adj. Tag = 1
Node pi4$enc:	Gate = XOR,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 14,	Level = 1	KIF = 1 	Adj. Tag = 2
Node pi5$enc:	Gate = XOR,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 15,	Level = 1	KIF = 1 	Adj. Tag = 2
Node pi6$enc:	Gate = XOR,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 10,	Level = 1	KIF = 1 	Adj. Tag = 2
Node pi7$enc:	Gate = XOR,	Visited = true,		Leaks = false,	Fanin = 3,	Fanout = 7,	Level = 1	KIF = 1 	Adj. Tag = 2
Node n71:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 2	KIF = 1 	Adj. Tag = 3
Node n72:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 2	KIF = 1 	Adj. Tag = 3
Node n73:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 2	KIF = 1 	Adj. Tag = 3
Node n74:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 2	KIF = 1 	Adj. Tag = 3
Node n75:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 2	KIF = 1 	Adj. Tag = 4
Node n76:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 2	KIF = 1 	Adj. Tag = 4
Node n77:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 2	KIF = 1 	Adj. Tag = 4
Node n78:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 2	KIF = 1 	Adj. Tag = 4
Node n114:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 6,	Level = 2	KIF = 2 	Adj. Tag = 5
Node n117:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 1,	Level = 2	KIF = 2 	Adj. Tag = 5
Node n121:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 2,	Level = 2	KIF = 2 	Adj. Tag = 5
Node n142:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 1,	Level = 2	KIF = 2 	Adj. Tag = 5
Node n175:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 2,	Level = 2	KIF = 2 	Adj. Tag = 6
Node n193:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 3,	Level = 2	KIF = 2 	Adj. Tag = 6
